id,address,longitude,latitude,name,types,primary_type,national_number,website_uri,rating_count,open_hours,rating,international_number,price_level,price_range
ChIJ-UhXRa4cdkgRMy1N_gLY2bs,"63 Worship St, London EC2A 2DU, UK",-0.0842796,51.5221934,The Cocktail Club - Cocktail Bar near Old Street,"['wine_bar', 'bar', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJJdCSc7ocdkgRqOofbAUhpgs,"141-143 Shoreditch High St, London E1 6JE, UK",-0.07820909999999999,51.526060099999995,Barrio - Shoreditch,"['bar', 'mexican_restaurant', 'wine_bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJN7DLn7ocdkgRAHNTfGExeWY,"97-113 Curtain Rd, London EC2A 3BS, UK",-0.0804583,51.5256859,Ballie Ballerson London,"['bar', 'night_club', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJv16nk7ocdkgR5P9wUhZgUpU,"134-146 Curtain Rd, London EC2A 3AR, UK",-0.08018009999999999,51.5265519,The Blues Kitchen Shoreditch,"['bar', 'bar_and_grill', 'karaoke', 'event_venue', 'american_restaurant', 'restaurant', 'food', 'night_club', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJK0w18ZgddkgRQYTOSLWTceY,"100 Shoreditch High St, London E1 6JQ, UK",-0.0771626,51.525480699999996,Seed Library,"['bar', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJ8zv5aLAcdkgRondZx7cngr0,"38 Great Eastern St, London EC2A 3ES, UK",-0.080125,51.524412399999996,The Old Blue Last,"['pub', 'event_venue', 'bar', 'night_club', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJFw64TNEddkgRf9xTZCzAA_s,"54-56 Scrutton St, London EC2A 4PH, UK",-0.0809319,51.523405,Yours London,"['restaurant', 'bar_and_grill', 'mediterranean_restaurant', 'bar', 'food', 'night_club', 'point_of_interest', 'establishment']",restaurant,,,,,,,,
ChIJuRFCz7EcdkgRJhtzI4Y11Tg,"1 Curtain Rd, London EC2A 3JX, UK",-0.0811529,51.522097099999996,Queen of Hoxton,"['brunch_restaurant', 'event_venue', 'bar', 'restaurant', 'food', 'night_club', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJj4iaELAcdkgRfatxhkTGU6c,"100-106 Leonard St, London EC2A 4RH, UK",-0.081424,51.5246107,TBC,"['bar', 'wine_bar', 'restaurant', 'food', 'night_club', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJW8kHGbEcdkgRE31xVhUTqnI,"233 Shoreditch High St, London E1 6PJ, UK",-0.07833,51.522141399999995,The Light Bar & Dining,"['bar', 'historical_landmark', 'historical_place', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJkSmuDHoddkgRWGDHcu410pg,"148 Shoreditch High St, London E1 6JE, UK",-0.077966,51.5257392,The Munch,"['turkish_restaurant', 'vegan_restaurant', 'brunch_restaurant', 'vegetarian_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",turkish_restaurant,,,,,,,,
ChIJR58PGLEcdkgR1oNPdXq8si4,"25 Shoreditch High St, London E1 6PG, UK",-0.0777274,51.522451,Bacchus Wine Cellar,"['liquor_store', 'food', 'store', 'point_of_interest', 'establishment']",liquor_store,,,,,,,,
ChIJc2GTUa4cdkgRuJQwErESy24,"2 Paul St, London EC2A 4JH, UK",-0.0843978,51.522199,The Joiner on Worship,"['pub', 'bar', 'point_of_interest', 'establishment']",pub,,,,,,,,
ChIJZ7CO6RAddkgRz8upj3OneNU,"100 Shoreditch High St, London E1 6JQ, UK",-0.0772795,51.5254663,Kaso Rooftop Bar & Kitchen,"['bar', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJ6zrS3Y8ddkgRtErZnryUKVg,"101 Great Eastern St, London EC2A 3JD, UK",-0.08444739999999999,51.526095399999996,Hari Food and Wine,"['convenience_store', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",convenience_store,,,,,,,,
ChIJ7zG_EbocdkgRV8rlCH8QgRc,"8 Calvert Ave, London E2 7JD, UK",-0.07732689999999999,51.5262953,Beans love Greens,"['coffee_shop', 'cafe', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",coffee_shop,,,,,,,,
ChIJfZoIUNMddkgRxo9PcLTQdtw,"6 King John Ct, London EC2A 3EZ, UK",-0.0787708,51.5240563,Acai Berry,"['acai_shop', 'brazilian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,,,,,,,,
ChIJ-wHU_TgddkgR1UgLbND2qZQ,"76-80 Great Eastern St, London EC2A 3JL, UK",-0.0826224,51.5258168,Nisa Local,"['supermarket', 'grocery_store', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",supermarket,,,,,,,,
ChIJLWUWE4MddkgRYQ4WoG2hfYQ,"44 Rivington St, London EC2A 3QP, UK",-0.0810892,51.5260399,Project 44,"['coffee_shop', 'wine_bar', 'bar', 'cafe', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",coffee_shop,,,,,,,,
ChIJQb40l58ddkgRFbn9VWcLMJA,"62 Great Eastern St, London EC2A 3QR, UK",-0.0816387,51.5252567,Kybelle Cafe,"['cafe', 'breakfast_restaurant', 'catering_service', 'coffee_shop', 'vegan_restaurant', 'vegetarian_restaurant', 'food_delivery', 'bar', 'event_venue', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",cafe,,,,,,,,
ChIJY31S-LscdkgR2jE9vrDCz-k,"132 Kingsland Rd, London E2 8DP, UK",-0.07697949999999999,51.5306432,Hoxton Cabin,"['bar', 'comedy_club', 'event_venue', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJszo5im0ddkgR6DXd1bIzTBs,"11 Hackney Rd, London E2 7NX, UK",-0.0772202,51.5274315,Rawlala - Raw M*akery,"['juice_shop', 'coffee_shop', 'cafe', 'health', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",juice_shop,,,,,,,,
ChIJG9HAbrocdkgRUsV7kM_tV4I,"123 Shoreditch High St, London E1 6JE, UK",-0.0782291,51.5270811,The Cornershop Bar,"['pub', 'hamburger_restaurant', 'bar_and_grill', 'meal_takeaway', 'bar', 'sports_club', 'american_restaurant', 'restaurant', 'food', 'night_club', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJUaBDxbAcdkgR2WGppgy4m-Y,"321 Old St, London EC1V 9LE, UK",-0.0808912,51.5269773,Cottons Shoreditch,"['wine_bar', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,,,,,,,,
ChIJd-jQulcddkgRrYYBGKVaE3g,"39A Hoxton Square, London N1 6NL, UK",-0.0802835,51.527394300000005,Nikkis Bar - Shoreditch,"['bar', 'wine_bar', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJaym_WbocdkgRRWEvjRx9wJg,"343 Old St, London EC1V 9LE, UK",-0.0790239,51.5273749,Budgens,"['grocery_store', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",grocery_store,,,,,,,,
ChIJ4Wr3rlkddkgRKJ-ICoZYWYw,"333 Old St, London EC1V 9LE, UK",-0.0804004,51.5272023,Shoreditch Balls,"['bar', 'golf_course', 'athletic_field', 'sports_activity_location', 'restaurant', 'food', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJTQ0BftYddkgRNlNOkcX9y1c,"3 Kingsland Rd, London E2 8AA, UK",-0.0781852,51.5275365,"Spread Eagle, Karaoke Bar","['bar', 'internet_cafe', 'juice_shop', 'pub', 'karaoke', 'cafe', 'brazilian_restaurant', 'food_store', 'restaurant', 'food', 'night_club', 'store', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJoy3n2ekddkgRl8tr5n4BEoo,"6 Kingsland Rd, London E2 8DA, UK",-0.0778212,51.5274454,Without Papers Bar,"['bar', 'pub', 'coffee_shop', 'wine_bar', 'cafe', 'event_venue', 'italian_restaurant', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",bar,,,,,,,,
ChIJvwJR6rocdkgRolX9EBro-UU,"329, 331A Old St, London EC1V 9LE, UK",-0.0805872,51.5270511,British Express,"['convenience_store', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",convenience_store,,,,,,,,
ChIJd07RrbgddkgR-jgXr7E418A,"51-53 Pitfield St, London N1 6BU, UK",-0.08376929999999999,51.5287339,Shopping tree hoxton,"['supermarket', 'liquor_store', 'market', 'grocery_store', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",supermarket,,,,,,,,
ChIJOYrwm7wcdkgRNvfN6MrvuaE,"149 Hoxton St, London N1 6PJ, UK",-0.08034039999999999,51.531110399999996,Barry's Food & Wine,"['liquor_store', 'store', 'point_of_interest', 'establishment']",liquor_store,,,,,,,,
ChIJr4BywvEddkgR2Nl7iTfxA6E,"100-102 Hoxton St, London N1 6SG, UK",-0.0800162,51.5310584,Capiz by Rapsa,"['brunch_restaurant', 'asian_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,,,,,,,,
ChIJUZQAwqQcdkgRGDaXQHdiPvg,"61 Pitfield St, London N1 6BU, UK",-0.08377069999999999,51.5290666,Friends Of Ours Hoxton,"['cafe', 'coffee_shop', 'deli', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",cafe,,,,,,,,
